ISO_3_Num,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
360,Indonesia,24073.13,24017.21,23941.11,23865.72,23756.92,23695.77,23644.98,23596.73,23559.29,23476.96,23439.56,23391.41,23324.29
76,Brazil,7721.31,7720.29,7715.05,7713.07,7707.71,7701.28,7697.29,7693.87,7689.74,7684.29,7681.19,7678.19,7674.94
458,Malaysia,4968.68,4959.43,4946.3,4936.84,4919.13,4903.14,4886.03,4867.21,4847.4,4809.18,4775.8,4752.64,4725.84
598,Papua New Guinea,4189.92,4189.41,4188.79,4188.2,4186.99,4186.32,4185.61,4184.91,4178.99,4176.8,4175.19,4173.56,4172.29
36,Australia,3326.51,3326.32,3325.94,3325.51,3324.81,3323.3,3322.21,3321.46,3320.76,3320.12,3319.21,3317.29,3316.21
484,Mexico,3021.03,3020.18,3018.49,3017.17,3013.83,3011.79,3009.42,3006.68,3003.02,2998.17,2995.72,2993.91,2991.83
104,Myanmar,2792.6,2790.4,2782.06,2774.16,2758.99,2744.91,2726.79,2701.09,2668.13,2626.38,2580.12,2567.96,2557.45
566,Nigeria,2657.04,2656.95,2656.84,2656.61,2656.41,2655.88,2655.69,2655.43,2655.13,2654.86,2654.51,2654.23,2653.99
862,Venezuela,2415.84,2412.96,2412.7,2410.38,2410.21,2409.74,2409.38,2408,2406.91,2405.86,2404.64,2404.37,2403.83
608,Philippines,2091.05,2089.89,2088.19,2086.64,2084.13,2082.61,2080.07,2077.65,2075.64,2072.37,2069.48,2067.92,2064.24
764,Thailand,1933.45,1932.87,1931.55,1929.27,1924.23,1919.54,1914.65,1910.9,1905.66,1897.62,1893.45,1889.92,1886.33
50,Bangladesh,1773.9,1773.86,1773.83,1773.61,1773.58,1773.57,1773.43,1773.21,1773.13,1773.11,1773.07,1772.99,1772.98
170,Colombia,1674.15,1674.01,1673.92,1673.9,1673.69,1673.64,1673.42,1673.29,1673.04,1672.78,1672.51,1672.24,1671.86
192,Cuba,1660.36,1659.22,1658.39,1656.92,1654.52,1651.39,1648.99,1647.84,1638.22,1634.89,1634.37,1633.91,1633.46
840,United States,1612.04,1611.03,1609.73,1608.67,1603.14,1586.78,1582.44,1581.31,1579.61,1577.82,1571.34,1569.65,1568.6
591,Panama,1327.86,1327.69,1327.53,1327.44,1327.18,1326.97,1326.58,1326.13,1325.2,1324.79,1324.5,1324.28,1323.94
508,Mozambique,1226.2,1226.12,1225.96,1225.88,1225.78,1225.56,1225.39,1225.21,1224.89,1224.48,1223.89,1223.75,1223.67
120,Cameroon,1118.7,1118.26,1118.13,1117.91,1117.83,1117.55,1117.32,1116.89,1116.5,1116.02,1114.06,1113.53,1112.76
266,Gabon,1086.69,1086.21,1086.09,1085.87,1085.56,1084.94,1084.67,1084.2,1083.77,1083.41,1083.16,1082.4,1082.11
218,Ecuador,937.56,937.51,937.41,937.32,937.05,936.97,936.76,936.56,936.46,936.26,936.14,935.98,935.74
450,Madagascar,852.22,852.19,852.14,852,851.92,851.77,851.68,851.33,850.95,850.61,850.37,850.16,849.96
356,India,825.06,824.54,823.94,822.98,822.35,820.64,817,815.03,803.78,802.71,801.58,801.33,797.84
324,Guinea,822.06,822.04,821.96,821.93,821.68,821.28,821.12,820.86,820.75,820.69,820.58,820.53,820.4
624,Guinea-Bissau,745.18,745.17,745.13,745.13,745.1,745.08,745.05,745,744.97,744.9,744.84,744.8,744.8
704,Viet Nam,716.4,716.1,715.81,715.57,715.06,714.57,713.72,712.67,711.59,710.03,709.3,708.84,708.17
250,"France (Martinique, Guiana, Guadeloupe, Mayotte)",704.45,704.3,704.1,703.87,703.51,703.18,703.04,702.81,701.54,701.38,700.84,700.33,696.45
694,Sierra Leone,655.67,655.67,655.66,655.65,655.64,655.59,655.57,655.55,655.54,655.44,655.43,655.41,655.38
558,Nicaragua,557.66,557.52,557.46,557.35,557.18,557.07,556.94,555.27,554.36,553.93,553.77,553.7,553.51
340,Honduras,535.97,535.79,535.56,535.35,534.95,534.39,532.75,531.79,530.63,528.85,527.55,526.24,525.24
740,Suriname,523.56,523.23,522.71,522.11,519.73,518.73,518.12,516.84,515.44,515.18,514.9,514.01,512.01
834,Tanzania,480.75,480.7,480.63,480.52,480.34,480.13,479.89,479.77,479.45,479.34,478.97,478.79,478.71
242,Fiji,401.7,401.68,401.67,401.64,401.59,401.49,401.39,401.34,401.23,401.15,401.07,401,400.93
90,Solomon Islands,394.92,394.87,394.73,394.69,394.59,394.44,394.26,394.02,393.75,393.52,393.35,393.18,392.93
116,Cambodia,338.39,338.26,337.87,337.67,336.96,335.98,334.3,332.17,331.27,326.51,324.82,324.29,323.22
188,Costa Rica,336.38,336.35,336.22,336.19,336.17,336.07,336.05,335.99,335.75,335.51,335.34,335.26,335.21
84,Belize,306.19,306.09,305.97,305.72,305.53,305.14,304.86,304.39,304.07,303.7,303.45,302.94,302.75
320,Guatemala,274.69,274.57,274.14,273.34,271.85,269.59,269.22,266.49,263.54,261.65,259.11,258.61,257.08
222,El Salvador,236.94,236.93,236.84,236.84,236.8,236.79,236.64,236.52,236.49,236.43,236.33,236.19,236.14
404,Kenya,230.47,230.46,230.45,230.42,230.32,230.3,230.28,230.25,230.23,230.19,230.14,230.14,230.12
24,Angola,217.05,216.86,216.42,216.09,216.04,216.03,215.91,215.74,215.61,215.37,213.98,213.89,213.61
328,Guyana,188.28,188.26,188.24,188.19,188.16,188.12,188.1,188.07,188,187.97,187.9,187.8,187.77
226,Equatorial Guinea,156.53,156.43,156.4,156.35,156.31,156.3,156.26,155.8,155.74,155.61,155.44,155.36,155.24
686,Senegal,155.4,155.4,155.4,155.4,155.4,155.38,155.37,155.37,155.36,155.35,155.35,155.34,155.34
180,"Congo, DR",147.15,147.14,147.11,147.1,147.08,147.08,147.04,147.04,147.04,146.95,146.14,146.11,146.09
96,Brunei Darussalam,104.23,104.18,104.11,104.05,103.88,103.85,103.82,103.78,103.73,103.68,103.65,103.46,103.41
214,Dominican Republic,101.35,101.34,101.31,101.3,101.27,101.17,101.11,100.98,100.93,100.89,100.86,100.82,100.81
540,New Caledonia,98.62,98.61,98.57,98.55,98.49,98.48,98.45,98.22,98.18,98.16,98.13,98.06,98.03
554,New Zealand,78.4,78.37,78.29,78.27,78.15,78.04,78.02,77.93,77.86,77.77,77.71,77.67,77.47
178,"Congo, DR",72,71.88,71.77,71.65,71.54,71.43,71.31,71.2,71.08,70.97,70.86,70.74,70.63
780,Trinidad and Tobago,53.32,52.73,52.71,52.68,52.61,52.6,52.38,52.23,52.23,52.22,51.77,51.77,51.75
585,Palau,48.06,48.05,48.03,48.02,48.01,48,47.99,47.96,47.94,47.94,47.93,47.92,47.92
270,Gambia,48.05,48.05,48.05,48.05,48.05,48.05,48.05,48.05,48.05,48.05,48.05,48.05,48.05
430,Liberia,47.2,47.19,47.17,47.16,47.16,47.15,47.14,47.11,47.09,47.05,47.04,47.02,47
136,Cayman Islands,46.64,46.64,46.64,46.64,46.6,46.57,46.55,46.54,46.52,46.5,46.47,46.42,46.4
630,Puerto Rico,46.05,46.03,46.03,46.03,46.03,46.03,46.03,46.01,45.97,45.97,45.97,45.96,45.96
388,Jamaica,44.59,44.59,44.55,44.54,44.24,44.15,44.14,44.13,44.1,44.06,44.02,43.99,43.97
332,Haiti,42.41,42.41,42.41,42.41,42.41,42.41,42.4,42.38,42.36,42.36,42.34,42.33,42.32
44,Bahamas,37.12,37.12,37.09,37.08,37.07,36.98,36.96,36.94,36.89,36.88,36.88,36.87,36.87
144,Sri Lanka,35.74,35.73,35.7,35.69,35.67,35.57,35.56,35.55,35.46,35.44,35.37,35.34,35.31
156,China,31.39,31.35,31.28,31.26,31.23,31.2,31.17,31.11,31.04,30.99,30.91,30.84,30.74
288,Ghana,24.48,24.36,24.11,24.08,24.04,23.95,23.93,23.86,23.8,23.73,23.72,23.62,23.58
384,Cote d'Ivoire,23.27,23.23,23.2,23.13,23.08,23.03,23.01,22.91,22.84,22.81,22.75,22.7,22.68
604,Peru,14.38,14.37,14.37,14.37,14.37,14.37,14.36,14.36,14.35,14.35,14.34,14.34,14.33
586,Pakistan,11.7,11.69,11.69,11.69,11.68,11.68,11.67,11.67,11.67,11.67,11.67,11.67,11.67
548,Vanuatu,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09
626,Timor-Leste,8.57,8.57,8.56,8.56,8.56,8.55,8.54,8.51,8.5,8.49,8.48,8.48,8.46
392,Japan,7.92,7.91,7.9,7.9,7.89,7.88,7.88,7.88,7.87,7.87,7.87,7.86,7.86
706,Somalia,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83
710,South Africa,7.15,7.15,7.14,7.14,7.12,7.11,7.11,7.09,7.09,7.07,7.07,7.07,7.07
204,Benin,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.97,6.97,6.97
583,"Micronesia, FS",6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.92,6.92,6.92
690,Seychelles,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41
702,Singapore,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
28,Antigua and Barbuda,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
232,Eritrea,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.27
850,"Virgin Islands, U.S.",1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
308,Grenada,1.14,1.14,1.12,1.12,1.11,1.11,1.11,1.11,1.11,1.11,1.1,1.1,1.1
662,Saint Lucia,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.07,1.07,1.07,1.07,1.07
528,Netherlands - Bonaire,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
158,Taiwan,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.82,0.82,0.81
174,Comoros,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
768,Togo,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
531,Curacao,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33
682,Saudi Arabia,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
462,Maldives,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
504,Morocco,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
784,United Arab Emirates,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
92,"Virgin Islands, British",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
670,St.Vincent & Grenadines,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
262,Djibouti,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
659,Saint Kitts and Nevis,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12
796,Turks and Caicos ,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
887,Yemen,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
533,Aruba,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
52,Barbados,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
660,Anguilla,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
364,Iran,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
663,Saint Martin,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
60,Bermuda,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
512,Oman,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
729,Sudan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
818,Egypt,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
634,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0
652,Saint Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0
478,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0