Year,RegionTotal,Africa,Asia,Europe,North America,Oceania,South America,Unknown
2006,182484,1399,5160,2102,164746,105,8903,69
2007,216988,1307,4528,2211,199584,105,9214,39
2008,254529,1417,4460,2853,236568,139,8941,151
2009,259504,1304,4906,3537,240589,157,8951,60
2010,212082,1220,4665,2741,195794,111,7511,40
2011,197056,1016,3737,1999,184250,97,5892,65
2012,216181,761,2862,1468,206630,67,4372,21
2013,235034,615,2013,988,228203,44,3153,18
2014,237822,745,1729,827,231708,47,2753,13
2015,193391,928,1671,687,186983,31,3071,20