Year,CountryTotal,Afghanistan,Albania,Algeria,Angola,Antigua-Barbuda,Argentina,Armenia,Australia,Austria,Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bolivia,Bosnia-Herzegovina,Brazil,Bulgaria,Burkina Faso,Burma,Cambodia,Cameroon,Canada,Cape Verde,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Czechoslovakia (former),Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Lithuania,Macedonia,Malaysia,Mali,Marshall Islands,Mauritania,Mexico,"Micronesia, Federated States",Moldova,Mongolia,Montenegro,Morocco,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Saint Kitts-Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro (former),Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Soviet Union (former),Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,All other countries,Unknown
2006,280974,20,252,41,16,40,457,97,54,10,91,151,46,24,14,211,11,D,352,42,4217,64,17,14,27,60,1413,37,D,245,1362,2788,23,26,795,41,15,124,34,68,8,28,3107,1750,172,11050,10,23,105,47,6,124,D,43,42,158,187,35,27,20527,78,289,907,27060,15,75,1048,388,59,21,54,197,144,1662,53,190,15,97,451,X,6,D,12,19,154,64,63,38,66,24,D,46,186726,30,12,48,X,90,30,89,32,2446,30,418,15,567,11,209,59,1338,658,450,146,188,169,3,25,35,21,7,23,124,X,105,35,16,35,3,39,69,X,8,59,82,22,21,25,15,70,86,D,20,73,23,32,398,33,158,-,26,174,10,385,142,48,444,41,47,14,26,62,77
2007,319382,27,246,27,17,45,395,74,52,13,97,138,40,21,17,233,7,D,382,42,4210,80,13,22,29,63,1263,61,3,237,864,2993,17,17,655,30,13,76,41,52,14,49,2990,1564,145,20045,11,21,150,45,D,100,4,35,53,165,231,30,28,25898,66,293,1492,29737,28,85,832,434,48,27,57,246,158,1490,38,212,19,126,417,X,7,4,19,19,128,69,77,34,65,35,10,21,208996,43,16,46,-,88,43,75,35,2307,40,435,9,545,6,185,49,1208,697,410,124,200,188,6,14,46,26,23,31,79,-,137,51,16,44,9,19,45,X,5,65,60,13,12,35,16,40,126,D,23,91,23,32,363,23,155,3,31,162,5,378,163,46,482,27,64,25,29,64,43
2008,359795,31,331,21,17,28,390,86,47,18,105,115,44,25,21,213,14,9,276,45,3836,77,18,10,40,66,1302,35,7,211,877,2590,32,22,692,43,24,65,52,55,17,35,3232,2330,166,20050,10,25,87,71,11,153,3,26,55,178,202,50,28,27527,74,284,1584,28885,23,95,932,489,40,37,79,258,215,1628,88,161,25,140,419,-,10,10,20,23,108,26,69,60,52,33,15,24,247263,64,45,50,-,61,46,93,39,2257,39,435,20,383,10,190,40,1275,689,498,158,216,238,7,14,30,23,20,32,87,-,165,27,21,35,4,23,59,X,14,94,113,15,14,38,20,46,81,10,41,102,30,38,478,38,183,10,28,182,5,479,173,56,412,30,44,20,43,89,161
2009,391341,18,296,27,20,43,448,95,83,20,143,104,48,36,27,242,9,15,278,57,3724,82,11,5,46,55,1325,49,6,205,966,2714,17,21,695,24,23,130,66,48,31,35,3576,2383,157,20844,D,26,76,54,10,236,7,27,71,204,229,48,29,29641,61,302,730,27283,25,131,1046,431,55,33,129,413,244,1662,87,214,34,175,394,14,14,10,21,30,144,51,72,49,59,23,11,18,276595,66,44,48,-,95,55,129,35,2172,31,424,30,358,14,199,47,1282,747,595,206,153,263,10,12,37,32,19,18,88,-,101,17,23,42,7,26,51,X,5,156,100,19,17,64,22,34,85,13,42,105,28,31,484,15,149,11,31,192,D,719,170,89,499,52,53,16,27,96,73
2010,381738,17,238,16,10,24,351,83,69,19,106,96,44,26,31,253,8,13,215,61,3533,73,8,13,43,71,1340,47,10,185,1060,2402,11,23,553,30,23,106,78,29,27,38,3371,2385,123,20346,7,24,79,63,17,194,4,27,59,201,199,41,47,29709,26,221,477,25121,33,89,959,361,74,59,107,327,201,1481,46,137,41,171,356,22,8,13,14,33,167,47,66,45,53,35,16,19,272629,64,44,53,-,77,57,95,35,1903,24,369,15,331,11,188,40,1108,747,550,184,168,237,5,15,35,26,14,38,65,-,109,36,17,67,10,39,61,X,4,137,355,27,11,48,13,54,62,16,31,115,18,34,380,30,178,11,28,172,4,501,169,81,391,38,40,23,33,105,59
2011,386020,17,171,13,13,19,286,58,52,25,134,88,41,22,17,215,5,14,195,63,3350,68,4,11,89,75,1290,27,4,155,1025,1899,15,21,378,26,18,79,46,15,9,33,2892,1716,109,17379,9,28,53,61,7,127,14,26,45,154,188,46,45,30343,35,187,729,22027,21,84,723,324,57,26,59,205,124,1473,37,112,31,139,424,28,7,10,17,41,93,40,47,33,38,23,20,21,286972,69,61,77,10,63,50,65,44,1502,11,361,7,229,13,149,25,982,695,426,148,204,242,8,20,23,20,9,16,51,11,79,44,14,37,7,31,52,-,4,122,236,17,13,29,12,36,69,33,27,87,16,45,326,14,126,12,28,208,4,327,172,62,308,53,39,11,34,83,78
2012,416324,21,112,19,7,39,217,56,37,8,108,73,50,29,15,209,8,8,151,53,2397,52,9,7,89,47,965,10,D,105,1039,1591,13,10,400,26,18,62,48,19,15,22,2867,1763,100,18993,10,16,58,30,8,107,7,21,28,113,179,27,28,38899,27,175,703,31739,25,72,577,224,36,26,45,191,119,1319,39,95,38,145,343,25,5,15,11,21,66,26,40,30,30,14,21,10,301676,76,58,55,12,58,38,42,34,1400,16,303,10,173,15,119,19,772,480,413,136,197,176,5,37,23,28,5,36,34,18,23,35,D,26,4,41,43,-,D,93,100,29,5,33,13,16,47,16,15,70,16,33,233,17,121,10,10,169,D,323,111,26,270,62,37,20,12,71,34
2013,434015,12,60,5,18,21,147,33,46,14,98,53,26,14,13,177,4,10,120,73,1449,39,9,4,17,29,800,4,D,99,788,1440,D,7,321,18,9,39,7,37,D,17,2297,1510,67,20921,D,17,41,22,9,81,D,12,31,84,105,27,12,46948,11,151,515,36591,16,67,415,94,30,31,49,130,114,1108,47,69,21,99,255,21,5,8,9,39,40,41,41,16,22,10,24,7,309807,79,33,24,18,46,41,41,16,1346,7,349,5,133,16,126,22,645,355,223,81,198,122,4,14,26,22,10,52,40,D,20,18,7,24,3,62,36,38,4,93,52,16,13,23,8,17,46,9,25,60,8,21,169,12,88,9,20,111,D,223,79,31,199,67,17,11,14,58,34
2014,407075,17,47,7,15,13,118,29,43,4,102,83,16,20,10,130,8,6,84,52,953,34,12,4,68,33,704,12,D,83,659,1349,4,11,283,8,6,30,39,9,6,14,2066,1528,73,26895,D,10,32,21,3,63,5,8,20,75,111,28,13,54247,15,140,396,40633,19,56,438,56,16,25,30,104,90,1035,33,69,16,86,213,10,5,21,D,29,52,19,28,12,21,19,31,5,267649,63,37,24,10,41,33,38,18,1296,8,452,D,87,15,86,18,691,318,190,63,141,99,3,17,15,21,10,67,25,11,4,12,10,16,5,63,39,9,D,103,29,13,5,15,9,6,43,6,27,51,5,29,163,10,55,6,23,91,D,212,52,34,165,43,18,11,7,62,22
2015,333341,9,40,14,10,16,132,16,32,7,73,64,12,8,7,134,8,11,69,55,992,34,24,5,15,31,629,8,4,88,634,1538,6,4,219,10,9,38,24,D,6,11,1865,1414,53,21471,5,6,33,13,D,39,3,6,14,47,70,14,13,33233,8,110,459,20204,16,28,502,29,20,29,21,101,69,852,32,88,12,76,145,12,6,6,D,32,43,9,18,9,16,6,21,5,242456,64,13,20,9,28,20,36,16,914,6,580,D,84,10,99,20,508,203,173,40,145,90,7,15,12,11,D,64,22,11,8,3,5,9,3,103,49,D,-,100,19,11,5,17,4,4,31,3,19,53,11,19,126,16,52,D,9,89,D,149,34,14,204,45,13,13,11,38,35